Time Stamp,pos X,pos Y,speed X,speed Y
105,836.8787663779646,248.87158406162933,4.887720651882802,5
106,841.5695764686229,253.87158406162933,4.690810090658368,5
107,845.994232622067,258.87158406162933,4.4246561534441025,5
108,850.0947880704836,263.87158406162933,4.100555448416595,5
109,853.8138243239833,268.87158406162933,3.719036253499742,5
110,857.0945793775576,273.87158406162933,3.280755053574263,5
111,859.8807291486323,278.87158406162933,2.7861497710747485,5
112,862.1156948753613,283.87158406162933,2.2349657267290546,5
113,863.7413788978166,288.87158406162933,1.6256840224553248,5
114,864.6963202642822,293.87158406162933,0.9549413664656069,5
115,864.912140725029,298.87158406162933,0.21582046074676597,5
116,864.3103947658559,303.87158406162933,-0.6017459591730524,5
117,862.8019794859074,308.87158406162933,-1.5084152799485158,5
118,860.2892466963972,313.87158406162933,-2.5127327895101645,5
119,856.6717998770704,318.87158406162933,-3.617446819326778,5
120,851.858624841578,323.87158406162933,-4.813175035492319,5
121,846.858624841578,328.87158406162933,-5,5
122,841.858624841578,333.87158406162933,-5,5
123,836.858624841578,338.87158406162933,-5,5
124,831.858624841578,343.87158406162933,-5,5
125,826.858624841578,348.87158406162933,-5,5
126,821.858624841578,353.87158406162933,-5,5
127,816.858624841578,358.87158406162933,-5,5
128,811.858624841578,363.87158406162933,-5,5
129,806.858624841578,368.87158406162933,-5,5
130,801.858624841578,373.87158406162933,-5,5
131,796.858624841578,378.87158406162933,-5,5
132,791.858624841578,383.87158406162933,-5,5
133,786.858624841578,388.87158406162933,-5,5
134,781.858624841578,393.87158406162933,-5,5
135,776.858624841578,398.87158406162933,-5,5
136,771.858624841578,403.87158406162933,-5,5
137,766.858624841578,408.87158406162933,-5,5
138,761.858624841578,413.87158406162933,-5,5
139,756.858624841578,418.87158406162933,-5,5
140,751.858624841578,423.87158406162933,-5,5
141,746.858624841578,428.87158406162933,-5,5
142,741.858624841578,433.87158406162933,-5,5
143,736.858624841578,438.87158406162933,-5,5
144,731.858624841578,443.87158406162933,-5,5
145,726.858624841578,448.87158406162933,-5,5
